iso_alpha3,country_name,cluster_label,total_fob_usd,last_year_fob_usd,first_year_fob_usd,active_months,n_hs,cagr
KAZ,Kazakhstan,Declining,1809326.019,262690.576,427078.925,48,4,-0.09262403689361332
KEN,Kenya,Core,1514591.632,394289.191,203837.487,70,5,0.14105390872210455
KOR,Rep. of Korea,Core,24107494.338,3101091.619,3529054.763,72,5,-0.025523792658444622
KWT,Kuwait,Core,3024226.078,505979.509,198359.137,69,5,0.20596899895260523
LKA,Sri Lanka,Core,6712602.843,1049210.534,953856.932,72,5,0.019238641672061574
LTU,Lithuania,Core,3076594.588,759200.115,283939.357,59,5,0.21737992030001752
LVA,Latvia,Declining,560959.903,81496.20999999999,122765.552,30,4,-0.07867643740562569
MAR,Morocco,Core,2032185.6130000001,456661.844,380745.208,53,3,0.037031757007527366
MEX,Mexico,Core,28436049.474,5720164.1389999995,3554857.587,72,4,0.09980896838080922
MLI,Mali,Untapped,109049.222,1316.4660000000001,44325.327000000005,13,3,-0.5050611558108111
MRT,Mauritania,Declining,417814.06299999997,,156964.625,13,2,
MYS,Malaysia,Core,22011378.207,4393220.323,3373225.56,72,5,0.054259493067940534
NGA,Nigeria,Core,3035926.838,928660.21,310628.424,68,5,0.24486750013649905
NLD,Netherlands,Core,61716611.757,12683979.557,16958270.352,72,5,-0.056428541392125275
NOR,Norway,Core,22701288.927,9249.917,22535234.406,48,4,-0.789789138926171
NPL,Nepal,Core,15064720.768,3272051.4159999997,2233360.921,72,5,0.07937471776945593
NZL,New Zealand,Core,5458244.396,509882.888,856608.932,72,5,-0.09855845906819805
PAK,Pakistan,Untapped,1293047.439,37.642,1263379.527,14,4,-0.8755978829670695
PER,Peru,Core,3714649.719,647973.096,324470.963,62,3,0.14835516292670947
PHL,Philippines,Core,6682091.125,1198102.311,705621.303,71,5,0.11169190789419692
POL,Poland,Core,19989705.618,4298779.618,2106616.57,72,5,0.15332561329142957
PRT,Portugal,Core,1570920.728,139379.979,227411.738,53,4,-0.09327100531669774
SAU,Saudi Arabia,Core,16866329.868,2819356.778,2950454.077,72,5,-0.009048873651775313
SGP,Singapore,Core,2831985.286,261879.806,232455.416,72,5,0.024123821822003233
SOM,Somalia,Declining,203394.546,9353.892,29923.628,20,5,-0.20750666060355527
BTN,Bhutan,Core,829921.223,244317.331,83951.255,71,5,0.23818465233655517
AGO,Angola,Declining,584803.888,51295.568,106066.594,34,3,-0.13523073862502588
COD,Dem. Rep. of the Congo,Declining,208275.29700000002,43125.89,14712.783000000001,57,4,0.23996277749208472
COG,Congo,Declining,353809.908,161326.029,58105.254,33,3,0.22658544797857538
CYP,Cyprus,Declining,11684.32,,7350.152,15,3,
FJI,Fiji,Core,3271987.701,936147.3219999999,346022.05799999996,69,4,0.22024793924232577
MDV,Maldives,Declining,492537.154,168589.584,109725.687,64,5,0.08969381545448551
MMR,Myanmar,Declining,528552.2289999999,263.086,277646.644,23,3,-0.7515030504323648
MUS,Mauritius,Core,2099566.066,595023.032,162474.931,71,5,0.2964312263776474
OMN,Oman,Core,8629982.932,2205225.555,1676425.819,72,5,0.05636434722300443
PAN,Panama,Core,4335271.769,1579427.457,69767.518,55,3,0.8662476853723415
QAT,Qatar,Core,1811342.903,210270.02200000003,607540.137,67,5,-0.1912012394010869
SRB,Serbia,Declining,31740.315,6227.956,412.68499999999995,26,4,0.7208593283972018
SUR,Suriname,Declining,53365.955,13649.296,12655.186,27,3,0.015239119756236708
CZE,Czechia,Declining,223730.70799999998,39209.465000000004,49230.266,42,5,-0.044497677888179266
HKG,"China, Hong Kong SAR",Core,2479794.048,46990.094,1953955.166,66,5,-0.5255195271153511
LBN,Lebanon,Declining,1554486.008,479797.321,166510.829,47,5,0.23572851159273323
BEN,Benin,Untapped,49745.644,59.446,45020.538,11,2,-0.7344523934775773
BGR,Bulgaria,Declining,328987.206,67009.823,76049.33899999999,32,4,-0.02499104292851484
KGZ,Kyrgyzstan,Rising Star,19210.767,51.206999999999994,1183.546,26,2,-0.46638400591242934
SVN,Slovenia,Declining,186284.592,34.955,58901.01,27,4,-0.7737037730921372
SWE,Sweden,Core,1078247.589,78466.383,378687.71499999997,70,5,-0.270071226892316
BFA,Burkina Faso,Untapped,103896.762,68.048,66251.99100000001,9,2,-0.7474640064071212
BLR,Belarus,Declining,166535.431,,33494.911,9,4,
DOM,Dominican Rep.,Rising Star,2722912.941,72277.497,73355.13200000001,33,3,-0.0029555501673542706
HRV,Croatia,Declining,1627397.855,478424.62899999996,65556.744,43,3,0.4881243761266263
MDG,Madagascar,Declining,123935.186,26745.228,8859.670999999998,36,4,0.24728512189831497
SEN,Senegal,Declining,1206341.73,307349.809,170307.217,44,3,0.12533021316116155
GHA,Ghana,Core,1445682.766,176617.717,204828.33000000002,60,4,-0.02920205462362868
CMR,Cameroon,Untapped,205086.987,526.235,144504.307,18,3,-0.6747181827063649
GMB,Gambia,Declining,284513.646,75050.97,34143.998,31,4,0.17059964338706313
ROU,Romania,Core,2160589.372,592891.833,91691.097,50,4,0.45254521441839746
SYR,Syria,Declining,1859202.015,529357.894,570274.388,30,2,-0.014780258851644468
THA,Thailand,Core,26738766.87,5525436.334,3727300.773,72,4,0.08191820352465151
UKR,Ukraine,Core,3096960.386,661381.47,525155.683,56,3,0.047207612769176066
URY,Uruguay,Core,1154794.899,278111.409,146440.41,62,3,0.13687200905152008
USA,USA,Core,866684121.064,111628035.173,224305775.401,72,5,-0.13026576588027305
VEN,Venezuela,Declining,458262.592,150014.59100000001,61846.035,24,4,0.19389003713208508
VNM,Viet Nam,Core,8134519.645,1725077.142,1070413.611,72,5,0.10014867380192105
YEM,Yemen,Declining,906093.6680000001,209970.431,231231.164,36,5,-0.019105374728952573
ZAF,South Africa,Core,24461751.129,6236287.85,2802820.7,72,5,0.17345426373440542
TTO,Trinidad and Tobago,Declining,387558.644,122884.279,9991.21,60,4,0.6518691699008736
TZA,United Rep. of Tanzania,Core,1298615.19,413323.433,74462.162,70,5,0.4088698563694346
ZMB,Zambia,Declining,228648.208,52445.326,54585.465000000004,51,5,-0.007967375084038775
SYC,Seychelles,Declining,525972.415,186208.066,86500.305,50,5,0.16572516033352236
UGA,Uganda,Rising Star,170578.206,37355.422,1036.88,34,3,1.0479767874277197
CRI,Costa Rica,Declining,281143.267,84167.477,69856.898,33,3,0.03797526033384058
AFG,Afghanistan,Untapped,154709.988,1676.391,54171.915,23,4,-0.5009773864199116
ARE,United Arab Emirates,Core,48471012.623,11500394.887,7691561.912,72,5,0.08377628230311629
ARG,Argentina,Core,23141798.704,2128630.475,10380891.625,70,4,-0.2715946554653256
AUS,Australia,Core,84580183.13599999,13575565.233,11042197.309,72,5,0.04217459827313563
AUT,Austria,Core,996516.54,281689.52400000003,125528.442,62,5,0.17545419831656495
BEL,Belgium,Core,16317459.825000001,5593672.612,2138214.727,71,5,0.21207402851576695
BGD,Bangladesh,Core,5479251.147,366959.701,779153.581,71,5,-0.1398007482475374
BHR,Bahrain,Core,1467265.548,356309.194,111508.838,59,5,0.26154732695560123
BRA,Brazil,Core,47364212.749,10398112.548,6506216.859,72,4,0.098310652506447
CAN,Canada,Core,89186855.747,16430306.805,12925118.619,72,5,0.049161214404833675
CHE,Switzerland,Core,6736780.4,1028511.923,2460816.559,71,5,-0.1601030232166204
CHL,Chile,Core,17482124.179,3221408.082,3781465.497,72,4,-0.03155018538599175
CHN,China,Core,282577598.065,50527862.43,83610236.994,72,5,-0.09582125363063987
COL,Colombia,Core,4721890.635,823472.152,878950.806,64,4,-0.012955189201724449
DEU,Germany,Core,278682201.735,59947131.828,38519926.267000005,72,5,0.09248779135357199
DNK,Denmark,Core,17480897.097,2600666.735,3980688.5039999997,71,5,-0.0816139007079435
DZA,Algeria,Core,5241656.182,1131864.994,410632.359,60,4,0.22480878210558886
ECU,Ecuador,Declining,1586360.744,460783.331,209200.899,48,4,0.17108021205483182
EGY,Egypt,Core,22020677.297,4762602.468,2450461.117,72,4,0.1421398994058758
ESP,Spain,Core,19606460.07,4932387.574,2678204.819,72,5,0.12990695414118036
ETH,Ethiopia,Declining,124368.34899999999,405.889,7780.383,14,5,-0.4460363589760047
FIN,Finland,Declining,98622.971,31841.763,11786.594,22,3,0.21989304787303987
FRA,France,Core,35792724.821,4545932.884000001,5376926.559,72,5,-0.033019351440800926
GBR,United Kingdom,Core,80388936.14,12826274.699000001,15336301.709,72,5,-0.03511405871648576
GIN,Guinea,Declining,495064.399,70719.674,31953.733,42,3,0.17220543209997263
GRC,Greece,Core,3595229.61,779606.295,1016618.769,69,5,-0.051705039186004
GTM,Guatemala,Core,3876812.9930000002,901979.084,334551.192,64,5,0.21940164634920922
IDN,Indonesia,Core,48319570.323,10263422.765,6395898.798,72,5,0.09920356193292457
IRL,Ireland,Core,5228473.239,784240.654,772981.429,67,3,0.002896367623550722
IRN,Iran,Core,9985765.094,607399.057,3411604.4110000003,59,4,-0.2918861493821311
IRQ,Iraq,Core,5523168.336,1399123.298,729721.086,56,4,0.13904221081181056
ISR,Israel,Core,5390264.374,924082.064,704385.899,70,5,0.05579591544449869
ITA,Italy,Core,60646532.679,13414663.427,10626800.325000001,72,5,0.04769640106578876
JOR,Jordan,Declining,1076940.666,361565.141,167740.067,51,5,0.16603060117230672
JPN,Japan,Core,43249336.218,7850285.403,6061091.439,72,5,0.05309347540682463
HUN,Hungary,Untapped,132336.074,18620.690000000002,58533.556000000004,22,4,-0.2047234583700398
MNG,Mongolia,Declining,103634.40699999999,3890.328,47652.74,23,3,-0.3941296935919024
SDN,Sudan,Declining,833243.4029999999,240231.527,143198.587,34,3,0.10901712867160329
TUN,Tunisia,Declining,1613165.954,468968.38599999994,55744.461,32,3,0.531046458717066
CUW,Curaçao,Untapped,716461.5630000001,63.326,713946.601,19,3,-0.8452668861911903
PNG,Papua New Guinea,Declining,439384.848,131846.361,75363.993,24,3,0.1183580017042336
TGO,Togo,Untapped,4151.296,695.59,2436.2360000000003,22,1,-0.22173626371458444
JAM,Jamaica,Declining,566052.311,132798.87,70373.773,20,3,0.135420441484716
GUY,Guyana,Rising Star,775823.11,547907.5160000001,3696.2079999999996,43,4,1.717629017442294
MLT,Malta,Declining,63699.408,35025.637,7496.667,17,3,0.36114240587268354
MWI,Malawi,Declining,110779.974,19527.785,21433.652000000002,28,4,-0.01845240802062731
SVK,Slovakia,Declining,665729.517,122.477,41363.528,29,2,-0.6879045815674998
MOZ,Mozambique,Rising Star,411265.739,168267.306,493.929,31,4,2.209719222786222
GEO,Georgia,Rising Star,554250.942,63.053,6301.846,18,3,-0.6018491990308686
EST,Estonia,Untapped,400827.942,379.46999999999997,159497.268,18,4,-0.7012658722569095
SLE,Sierra Leone,Rising Star,22875.134000000002,3021.919,47.803,18,3,1.2917409937605977
LBR,Liberia,Declining,66059.374,331.17400000000004,664.315,13,4,-0.1299655787946652
BWA,Botswana,Rising Star,2484.888,378.202,24.715,11,2,0.7256497039300542
KHM,Cambodia,Declining,34174.665,274.279,4723.603,12,2,-0.4340424817363562
RWA,Rwanda,Untapped,10038.939,59.641,1191.114,11,3,-0.4505624745916811
LBY,Libya,Rising Star,239960.753,125503.525,1186.072,12,3,1.5404401864468809
TCD,Chad,Untapped,13338.932,0.108,307.003,7,2,-0.796175574346184
ZWE,Zimbabwe,Declining,144099.42799999999,168.006,,8,4,
